p,p_bell,p_single_ratio,p_idle_ratio,telegate_idle_depth,logical_error_rate,acceptance_ratio,discarded_runs,n_samples,logical_failures,avg_fidelity,z_error_pre_decoding_rate,x_error_pre_decoding_rate,depth_cx_layers,depth_telegate_layers,encoding_circ_gate_counts,total_single_qubit_count,total_two_qubit_count,total_telegate_count,num_meas
0.0006512785407509825,0.0012587497926444527,0.01,0.1,25,0.00010227165806902928,0.977788,5553,250000,[25],0.9998977283419338,0.02218885893465659,0.011744877212647322,8,3,"[3, 6, 2]",3,8,3,1
0.0007112665040279459,0.0012587497926444527,0.01,0.1,25,0.00020494827105638536,0.9758560000000001,6036,250000,[50],0.9997950517289523,0.024413438048236626,0.012928136938236788,8,3,"[3, 6, 2]",3,8,3,1
0.0007767798385753472,0.0012587497926444527,0.01,0.1,25,0.00022179050654487357,0.973892,6527,250000,[54],0.9997782094934614,0.02632735457319703,0.014137091176434347,8,3,"[3, 6, 2]",3,8,3,1
0.0008483274752854595,0.0012587497926444527,0.01,0.1,25,0.00022235581872235994,0.9714160000000001,7146,250000,[54],0.999777644181276,0.028922727235293634,0.015136666474507317,8,3,"[3, 6, 2]",3,8,3,1
0.000926465221656747,0.0012587497926444527,0.01,0.1,25,0.0002601929557919778,0.968512,7872,250000,[63],0.9997398070442193,0.03154529835458931,0.016507797528579924,8,3,"[3, 6, 2]",3,8,3,1
0.001011800079504272,0.0012587497926444527,0.01,0.1,25,0.0002979367877448668,0.966648,8338,250000,[72],0.9997020632122512,0.034378594897004906,0.018753465584163003,8,3,"[3, 6, 2]",3,8,3,1
0.0011049949603657587,0.0012587497926444527,0.01,0.1,25,0.0003568316667358201,0.96404,8990,250000,[86],0.9996431683332624,0.03722252188705863,0.02037259864735903,8,3,"[3, 6, 2]",3,8,3,1
0.0012067738352342851,0.0012587497926444527,0.01,0.1,25,0.00044997750112494374,0.960048,9988,250000,[108],0.9995500224988689,0.04038964718430745,0.022207222972184724,8,3,"[3, 6, 2]",3,8,3,1
0.001317927358622541,0.0012587497926444527,0.01,0.1,25,0.0005473842553902724,0.95728,10680,250000,[131],0.9994526157445882,0.04384506100618419,0.023967909075714524,8,3,"[3, 6, 2]",3,8,3,1
0.0014393190106484026,0.0012587497926444527,0.01,0.1,25,0.0006287858145920228,0.95422,11445,250000,[150],0.9993712141854292,0.04819433673576324,0.02652218565949152,8,3,"[3, 6, 2]",3,8,3,1
0.001571891804855704,0.0012587497926444527,0.01,0.1,25,0.0008213708046906591,0.949632,12592,250000,[195],0.9991786291952973,0.05228551691602642,0.028516309475670576,8,3,"[3, 6, 2]",3,8,3,1
