fitness_evolution,fidelity_evolution,single_count,two_qubit_count,telegate_count
9865.737185006468,1.0,3,6,2
9865.943127936553,1.0,3,6,2
9866.148754975075,1.0,3,6,2
9866.354066606573,1.0,3,6,2
9866.559063314844,1.0,3,6,2
9866.763745582943,1.0,3,6,2
9866.968113893181,1.0,3,6,2
9867.172168727133,1.0,3,6,2
9867.375910565634,1.0,3,6,2
9867.579339888782,1.0,3,6,2
9867.782457175934,1.0,3,6,2
9867.985262905719,1.0,3,6,2
9868.187757556027,1.0,3,6,2
9868.389941604017,1.0,3,6,2
9868.591815526115,1.0,3,6,2
9868.793379798017,1.0,3,6,2
9868.994634894689,1.0,3,6,2
9869.195581290367,1.0,3,6,2
9869.396219458562,1.0,3,6,2
9869.596549872058,1.0,3,6,2
9869.796573002914,1.0,3,6,2
9869.996289322462,1.0,3,6,2
9870.195699301317,1.0,3,6,2
9870.394803409366,1.0,3,6,2
9870.593602115778,1.0,3,6,2
9870.792095889004,1.0,3,6,2
9870.990285196773,1.0,3,6,2
9871.188170506099,1.0,3,6,2
9871.385752283279,1.0,3,6,2
9871.583030993892,1.0,3,6,2
9871.780007102809,1.0,3,6,2
9871.976681074184,1.0,3,6,2
9872.173053371458,1.0,3,6,2
9872.369124457362,1.0,3,6,2
9872.56489479392,1.0,3,6,2
9872.760364842445,1.0,3,6,2
9872.95553506354,1.0,3,6,2
9873.150405917106,1.0,3,6,2
9873.344977862336,1.0,3,6,2
9873.53925135772,1.0,3,6,2
9873.733226861046,1.0,3,6,2
9873.926904829394,1.0,3,6,2
9874.120285719146,1.0,3,6,2
9874.313369985988,1.0,3,6,2
9874.506158084903,1.0,3,6,2
9874.698650470176,1.0,3,6,2
9874.890847595396,1.0,3,6,2
9875.082749913456,1.0,3,6,2
9875.274357876555,1.0,3,6,2
9875.4656719362,1.0,3,6,2
9875.656692543198,1.0,3,6,2
9875.847420147677,1.0,3,6,2
9876.03785519906,1.0,3,6,2
9876.227998146094,1.0,3,6,2
9876.417849436828,1.0,3,6,2
9876.60740951863,1.0,3,6,2
9876.796678838178,1.0,3,6,2
9876.985657841467,1.0,3,6,2
9877.174346973807,1.0,3,6,2
9877.362746679823,1.0,3,6,2
9877.550857403461,1.0,3,6,2
9877.738679587988,1.0,3,6,2
9877.926213675984,1.0,3,6,2
9878.113460109356,1.0,3,6,2
9878.300419329333,1.0,3,6,2
9878.487091776462,1.0,3,6,2
9878.673477890621,1.0,3,6,2
9878.859578111007,1.0,3,6,2
9879.04539287615,1.0,3,6,2
9879.230922623903,1.0,3,6,2
9879.416167791447,1.0,3,6,2
9879.601128815295,1.0,3,6,2
9879.785806131287,1.0,3,6,2
9879.970200174599,1.0,3,6,2
9880.154311379736,1.0,3,6,2
9880.338140180536,1.0,3,6,2
9880.521687010178,1.0,3,6,2
9880.704952301165,1.0,3,6,2
9880.887936485347,1.0,3,6,2
9881.070639993908,1.0,3,6,2
9881.25306325737,1.0,3,6,2
9881.435206705595,1.0,3,6,2
9881.617070767787,1.0,3,6,2
9881.798655872488,1.0,3,6,2
9881.979962447585,1.0,3,6,2
9882.160990920313,1.0,3,6,2
9882.341741717242,1.0,3,6,2
9882.522215264296,1.0,3,6,2
9882.702411986744,1.0,3,6,2
9882.882332309198,1.0,3,6,2
9883.061976655625,1.0,3,6,2
9883.241345449336,1.0,3,6,2
9883.420439112999,1.0,3,6,2
9883.599258068629,1.0,3,6,2
9883.777802737595,1.0,3,6,2
9883.956073540618,1.0,3,6,2
9884.134070897777,1.0,3,6,2
9884.311795228503,1.0,3,6,2
9884.489246951589,1.0,3,6,2
9884.666426485179,1.0,3,6,2
9884.84333424678,1.0,3,6,2
9885.019970653257,1.0,3,6,2
9885.196336120836,1.0,3,6,2
9885.372431065105,1.0,3,6,2
9885.548255901014,1.0,3,6,2
9885.723811042877,1.0,3,6,2
9885.89909690437,1.0,3,6,2
9886.07411389854,1.0,3,6,2
9886.248862437793,1.0,3,6,2
9886.42334293391,1.0,3,6,2
9886.597555798033,1.0,3,6,2
9886.77150144068,1.0,3,6,2
9886.945180271736,1.0,3,6,2
9887.118592700457,1.0,3,6,2
9887.291739135473,1.0,3,6,2
9887.464619984787,1.0,3,6,2
9887.637235655771,1.0,3,6,2
9887.80958655518,1.0,3,6,2
9887.981673089143,1.0,3,6,2
9888.153495663162,1.0,3,6,2
9888.32505468212,1.0,3,6,2
9888.496350550278,1.0,3,6,2
9888.66738367128,1.0,3,6,2
9888.838154448147,1.0,3,6,2
9889.008663283283,1.0,3,6,2
9889.178910578474,1.0,3,6,2
9889.348896734891,1.0,3,6,2
9889.518622153091,1.0,3,6,2
9889.688087233015,1.0,3,6,2
9889.857292373987,1.0,3,6,2
9890.026237974726,1.0,3,6,2
9890.194924433334,1.0,3,6,2
9890.363352147302,1.0,3,6,2
9890.531521513514,1.0,3,6,2
9890.699432928246,1.0,3,6,2
9890.867086787162,1.0,3,6,2
9891.034483485324,1.0,3,6,2
9891.201623417182,1.0,3,6,2
9891.368506976587,1.0,3,6,2
9891.535134556783,1.0,3,6,2
9891.701506550411,1.0,3,6,2
9891.86762334951,1.0,3,6,2
9892.033485345519,1.0,3,6,2
9892.199092929272,1.0,3,6,2
9892.364446491007,1.0,3,6,2
9892.529546420366,1.0,3,6,2
9892.694393106387,1.0,3,6,2
9892.85898693752,1.0,3,6,2
9893.023328301606,1.0,3,6,2
9893.187417585905,1.0,3,6,2
9893.351255177075,1.0,3,6,2
9893.514841461183,1.0,3,6,2
9893.678176823703,1.0,3,6,2
9893.84126164952,1.0,3,6,2
9894.004096322926,1.0,3,6,2
9894.166681227623,1.0,3,6,2
9894.32901674673,1.0,3,6,2
9894.49110326277,1.0,3,6,2
9894.652941157685,1.0,3,6,2
9894.814530812831,1.0,3,6,2
9894.975872608979,1.0,3,6,2
9895.13696692631,1.0,3,6,2
9895.297814144431,1.0,3,6,2
9895.458414642359,1.0,3,6,2
9895.618768798537,1.0,3,6,2
9895.77887699082,1.0,3,6,2
9895.938739596488,1.0,3,6,2
9896.098356992241,1.0,3,6,2
9896.257729554201,1.0,3,6,2
9896.416857657916,1.0,3,6,2
9896.575741678353,1.0,3,6,2
9896.734381989905,1.0,3,6,2
9896.892778966396,1.0,3,6,2
9897.050932981068,1.0,3,6,2
9897.208844406598,1.0,3,6,2
9897.366513615088,1.0,3,6,2
9897.52394097807,1.0,3,6,2
9897.681126866504,1.0,3,6,2
9897.838071650785,1.0,3,6,2
9897.994775700736,1.0,3,6,2
9898.151239385616,1.0,3,6,2
9898.307463074112,1.0,3,6,2
9898.463447134354,1.0,3,6,2
9898.619191933902,1.0,3,6,2
9898.774697839752,1.0,3,6,2
9898.929965218336,1.0,3,6,2
9899.08499443553,1.0,3,6,2
9899.239785856644,1.0,3,6,2
9899.394339846425,1.0,3,6,2
9899.548656769068,1.0,3,6,2
9899.702736988203,1.0,3,6,2
9899.856580866905,1.0,3,6,2
9900.010188767692,1.0,3,6,2
9900.163561052526,1.0,3,6,2
9900.316698082814,1.0,3,6,2
9900.469600219405,1.0,3,6,2
9900.6222678226,1.0,3,6,2
9900.774701252145,1.0,3,6,2
9900.926900867233,1.0,3,6,2
9901.078867026506,1.0,3,6,2
9901.23060008806,1.0,3,6,2
9901.382100409437,1.0,3,6,2
9901.533368347635,1.0,3,6,2
9901.684404259096,1.0,3,6,2
9901.835208499726,1.0,3,6,2
9901.985781424877,1.0,3,6,2
9902.136123389362,1.0,3,6,2
9902.286234747444,1.0,3,6,2
9902.436115852846,1.0,3,6,2
9902.585767058748,1.0,3,6,2
9902.73518871779,1.0,3,6,2
9902.884381182066,1.0,3,6,2
9903.033344803136,1.0,3,6,2
9903.182079932014,1.0,3,6,2
9903.330586919183,1.0,3,6,2
9903.478866114583,1.0,3,6,2
9903.62691786762,1.0,3,6,2
9903.774742527163,1.0,3,6,2
9903.922340441544,1.0,3,6,2
9904.069711958566,1.0,3,6,2
9904.216857425492,1.0,3,6,2
9904.363777189057,1.0,3,6,2
9904.510471595464,1.0,3,6,2
9904.65694099038,1.0,3,6,2
9904.803185718949,1.0,3,6,2
9904.949206125782,1.0,3,6,2
9905.09500255496,1.0,3,6,2
9905.240575350035,1.0,3,6,2
9905.38592485404,1.0,3,6,2
9905.531051409473,1.0,3,6,2
9905.67595535831,1.0,3,6,2
9905.820637042007,1.0,3,6,2
9905.965096801487,1.0,3,6,2
9906.109334977156,1.0,3,6,2
9906.253351908897,1.0,3,6,2
9906.397147936073,1.0,3,6,2
9906.540723397524,1.0,3,6,2
9906.68407863157,1.0,3,6,2
9906.827213976014,1.0,3,6,2
9906.97012976814,1.0,3,6,2
9907.112826344715,1.0,3,6,2
9907.25530404199,1.0,3,6,2
9907.397563195696,1.0,3,6,2
9907.539604141057,1.0,3,6,2
9907.681427212776,1.0,3,6,2
9907.823032745044,1.0,3,6,2
9907.964421071541,1.0,3,6,2
9908.105592525437,1.0,3,6,2
9908.246547439383,1.0,3,6,2
9908.38728614553,1.0,3,6,2
9908.52780897551,1.0,3,6,2
9908.668116260456,1.0,3,6,2
9908.808208330984,1.0,3,6,2
9908.94808551721,1.0,3,6,2
9909.087748148737,1.0,3,6,2
9909.22719655467,1.0,3,6,2
9909.366431063601,1.0,3,6,2
9909.505452003626,1.0,3,6,2
9909.644259702332,1.0,3,6,2
9909.782854486806,1.0,3,6,2
9909.921236683633,1.0,3,6,2
9910.059406618895,1.0,3,6,2
9910.197364618176,1.0,3,6,2
9910.335111006561,1.0,3,6,2
9910.472646108637,1.0,3,6,2
9910.609970248488,1.0,3,6,2
9910.747083749708,1.0,3,6,2
9910.88398693539,1.0,3,6,2
9911.020680128131,1.0,3,6,2
9911.157163650038,1.0,3,6,2
9911.293437822718,1.0,3,6,2
9911.429502967288,1.0,3,6,2
9911.565359404372,1.0,3,6,2
9911.701007454103,1.0,3,6,2
9911.83644743612,1.0,3,6,2
9911.971679669577,1.0,3,6,2
9912.106704473132,1.0,3,6,2
9912.241522164959,1.0,3,6,2
9912.37613306274,1.0,3,6,2
9912.510537483677,1.0,3,6,2
9912.644735744476,1.0,3,6,2
9912.778728161364,1.0,3,6,2
9912.912515050079,1.0,3,6,2
9913.046096725877,1.0,3,6,2
9913.179473503531,1.0,3,6,2
9913.312645697328,1.0,3,6,2
9913.445613621077,1.0,3,6,2
9913.578377588103,1.0,3,6,2
9913.71093791125,1.0,3,6,2
9913.843294902883,1.0,3,6,2
9913.97544887489,1.0,3,6,2
9914.107400138675,1.0,3,6,2
9914.239149005172,1.0,3,6,2
9914.370695784832,1.0,3,6,2
9914.50204078763,1.0,3,6,2
9914.633184323071,1.0,3,6,2
9914.76412670018,1.0,3,6,2
9914.894868227508,1.0,3,6,2
9915.025409213136,1.0,3,6,2
9915.15574996467,1.0,3,6,2
9915.285890789246,1.0,3,6,2
9915.415831993527,1.0,3,6,2
9915.545573883704,1.0,3,6,2
9915.675116765506,1.0,3,6,2
9915.804460944184,1.0,3,6,2
9915.933606724526,1.0,3,6,2
9916.06255441085,1.0,3,6,2
9916.191304307009,1.0,3,6,2
9916.319856716389,1.0,3,6,2
9916.448211941912,1.0,3,6,2
9916.576370286031,1.0,3,6,2
9916.704332050742,1.0,3,6,2
9916.832097537572,1.0,3,6,2
9916.959667047588,1.0,3,6,2
9917.087040881393,1.0,3,6,2
9917.214219339136,1.0,3,6,2
9917.341202720494,1.0,3,6,2
9917.467991324695,1.0,3,6,2
9917.5945854505,1.0,3,6,2
9917.720985396218,1.0,3,6,2
9917.847191459698,1.0,3,6,2
9917.973203938329,1.0,3,6,2
9918.09902312905,1.0,3,6,2
9918.22464932834,1.0,3,6,2
9918.350082832225,1.0,3,6,2
9918.475323936274,1.0,3,6,2
9918.600372935609,1.0,3,6,2
9918.725230124892,1.0,3,6,2
9918.84989579834,1.0,3,6,2
9918.97437024971,1.0,3,6,2
9919.09865377232,1.0,3,6,2
9919.222746659027,1.0,3,6,2
